generation,max_fitness,mean_fitness,min_fitness,std_fitness
0,34.3,25.0055,15.0,3.554118431837807
1,35.3,27.089,18.1,3.093618246879505
2,35.9,28.7125,20.9,2.8340447834398237
3,38.3,30.329,23.2,2.7035976519253024
4,38.7,31.8545,25.4,2.5379522542309103
5,39.9,33.3675,26.8,2.454698500119364
6,41.2,34.725,28.0,2.3236850833069664
7,41.9,36.016000000000005,30.0,2.224564859892623
8,42.3,37.2635,31.4,2.1348422178828317
9,43.7,38.416,32.2,2.0902198957962357
10,44.8,39.644999999999996,34.2,1.867267502572183
11,45.2,40.6585,35.7,1.8056070528553931
12,46.1,41.594,36.9,1.7211680229868622
13,46.6,42.538,38.1,1.6162958490306452
14,46.9,43.425,39.4,1.4980167555769917
15,47.6,44.256,40.7,1.3895114255890033
16,48.3,45.023,41.4,1.2698526740970042
17,48.6,45.7105,42.6,1.1559654845103453
18,49.0,46.3745,43.4,1.0987797931096552
19,49.4,46.994,44.6,0.9825518069541765
20,49.6,47.546499999999995,45.2,0.9115657405631346
21,49.7,48.0335,45.9,0.7850641213532963
22,49.9,48.425,46.3,0.6856503874554376
23,49.9,48.7455,47.1,0.5732738518490664
24,49.9,49.0355,47.9,0.4687016095389399
25,49.9,49.2605,48.1,0.4247207204226612
26,50.0,49.452999999999996,48.4,0.3876758234297095
27,50.0,49.63,48.8,0.33111685980414557
28,50.0,49.761,49.2,0.22313217576592992
29,50.0,49.841499999999996,49.4,0.1413756904211829
30,50.0,49.891000000000005,49.7,0.08275455564077944
31,50.0,49.9105,49.8,0.051231079358915535
32,50.0,49.9205,49.8,0.04778419169866554
33,50.0,49.9375,49.9,0.04841229182759271
34,50.0,49.958,49.9,0.04935585071701226
35,50.0,49.9835,49.9,0.03711805490593492
36,50.0,49.995999999999995,49.9,0.019595917942265423
37,50.0,50.0,50.0,0.0
38,50.0,50.0,50.0,0.0
39,50.0,50.0,50.0,0.0
40,50.0,50.0,50.0,0.0
41,50.0,50.0,50.0,0.0
42,50.0,50.0,50.0,0.0
43,50.0,50.0,50.0,0.0
44,50.0,50.0,50.0,0.0
45,50.0,50.0,50.0,0.0
46,50.0,50.0,50.0,0.0
47,50.0,50.0,50.0,0.0
48,50.0,50.0,50.0,0.0
49,50.0,50.0,50.0,0.0
50,50.0,50.0,50.0,0.0
51,50.0,50.0,50.0,0.0
52,50.0,50.0,50.0,0.0
53,50.0,50.0,50.0,0.0
54,50.0,50.0,50.0,0.0
55,50.0,50.0,50.0,0.0
56,50.0,50.0,50.0,0.0
57,50.0,50.0,50.0,0.0
58,50.0,50.0,50.0,0.0
59,50.0,50.0,50.0,0.0
60,50.0,50.0,50.0,0.0
61,50.0,50.0,50.0,0.0
62,50.0,50.0,50.0,0.0
63,50.0,50.0,50.0,0.0
64,50.0,50.0,50.0,0.0
65,50.0,50.0,50.0,0.0
66,50.0,50.0,50.0,0.0
67,50.0,50.0,50.0,0.0
68,50.0,50.0,50.0,0.0
69,50.0,50.0,50.0,0.0
70,50.0,50.0,50.0,0.0
71,50.0,50.0,50.0,0.0
72,50.0,50.0,50.0,0.0
73,50.0,50.0,50.0,0.0
74,50.0,50.0,50.0,0.0
75,50.0,50.0,50.0,0.0
76,50.0,50.0,50.0,0.0
77,50.0,50.0,50.0,0.0
78,50.0,50.0,50.0,0.0
79,50.0,50.0,50.0,0.0
80,50.0,50.0,50.0,0.0
81,50.0,50.0,50.0,0.0
82,50.0,50.0,50.0,0.0
83,50.0,50.0,50.0,0.0
84,50.0,50.0,50.0,0.0
85,50.0,50.0,50.0,0.0
86,50.0,50.0,50.0,0.0
87,50.0,50.0,50.0,0.0
88,50.0,50.0,50.0,0.0
89,50.0,50.0,50.0,0.0
90,50.0,50.0,50.0,0.0
91,50.0,50.0,50.0,0.0
92,50.0,50.0,50.0,0.0
93,50.0,50.0,50.0,0.0
94,50.0,50.0,50.0,0.0
95,50.0,50.0,50.0,0.0
96,50.0,50.0,50.0,0.0
97,50.0,50.0,50.0,0.0
98,50.0,50.0,50.0,0.0
99,50.0,50.0,50.0,0.0
100,50.0,50.0,50.0,0.0
